method,family,qrels_variant,run_path,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
custom_lexical_fulltext_temporal_citation,temporal_citation,dctr,outputs\custom_lexical_fulltext_temporal_citation\snapshot-1-train\run.txt,0.008790498408515724,0.19350512702215605,0.009101992660902215,0.021283177095309136,0.9245427700696421
official_pyterrier_temporal,temporal,dctr,outputs\official_pyterrier_temporal\snapshot-1-train\run.txt,0.00534218214919156,0.17504792064843142,0.008355203498226375,0.02983068253022614,0.8580615587340512
official_pyterrier_temporal_citation,temporal_citation,dctr,outputs\official_pyterrier_temporal_citation\snapshot-1-train\run.txt,0.0045633974058634005,0.17489515796595648,0.008488759149449812,0.02983068253022614,0.8580615587340512
custom_lexical_fulltext,base,raw,outputs\custom_lexical_fulltext\snapshot-1-train\run.txt,0.3636536257610053,0.5503703274946872,0.28990752060919944,0.7323558145307223,0.9205377832264199
rrf_bm25_ft_dense_ta,fusion,raw,outputs\rrf_bm25_ft_dense_ta\snapshot-1-train\run.txt,0.3531988902403789,0.5647836123829151,0.28866176014545586,0.7740999396196657,0.9608978846980832
official_pyterrier_dense_temporal,temporal,raw,outputs\official_pyterrier_dense_temporal\snapshot-1-train\run.txt,0.3397387175500437,0.5042330573226929,0.26119494571003377,0.6349419779115955,0.8555038235857043
custom_title_abstract_rerank,base,raw,outputs\custom_title_abstract_rerank\snapshot-1-train\run.txt,0.3373153681186338,0.5151862218108324,0.27502143046399746,0.6836214187129852,0.856086684751824
rrf_bm25_ta_bm25_ft_dense_ta,fusion,raw,outputs\rrf_bm25_ta_bm25_ft_dense_ta\snapshot-1-train\run.txt,0.33431196045062284,0.5563129391396427,0.2713887760183986,0.7873449247867762,0.9746592540758321
official_pyterrier,base,raw,outputs\official_pyterrier\snapshot-1-train\run.txt,0.3309780749793819,0.503358590921202,0.26578908761232545,0.6831384955595388,0.856086684751824
official_pyterrier_dense,base,raw,outputs\official_pyterrier_dense\snapshot-1-train\run.txt,0.31060204162806027,0.4874811818577431,0.2401879205128772,0.6379022535759477,0.8555038235857043
custom_title_abstract_rm3,base,raw,outputs\custom_title_abstract_rm3\snapshot-1-train\run.txt,0.30739867403915777,0.4934107516480583,0.2469005112935497,0.6534192083822297,0.8688310824768228
rrf_bm25_ta_dense_ta,fusion,raw,outputs\rrf_bm25_ta_dense_ta\snapshot-1-train\run.txt,0.29933416678948466,0.4987692535303726,0.23298747501996048,0.6666061398839317,0.8989671662576606
custom_title_abstract_rerank_temporal,temporal,raw,outputs\custom_title_abstract_rerank_temporal\snapshot-1-train\run.txt,0.28693982856394196,0.4639271660765384,0.23750731000778194,0.5477126324672934,0.856086684751824
custom_title_abstract_rerank_temporal_citation,temporal_citation,raw,outputs\custom_title_abstract_rerank_temporal_citation\snapshot-1-train\run.txt,0.2711853886239736,0.4515776899633988,0.22299158217706883,0.5497095561392777,0.856086684751824
custom_title_abstract_rm3_temporal,temporal,raw,outputs\custom_title_abstract_rm3_temporal\snapshot-1-train\run.txt,0.012934742646658124,0.2009091837824814,0.010667561789472013,0.03774106381560742,0.8688310824768226
custom_lexical_fulltext_temporal,temporal,raw,outputs\custom_lexical_fulltext_temporal\snapshot-1-train\run.txt,0.009538898588541435,0.21297006181326417,0.009455255608688106,0.02171799228012432,0.9205377832264199
custom_lexical_fulltext_temporal_citation,temporal_citation,raw,outputs\custom_lexical_fulltext_temporal_citation\snapshot-1-train\run.txt,0.009538898588541435,0.2129655131244381,0.009450941918012247,0.02171799228012432,0.9205377832264199
official_pyterrier_temporal_citation,temporal_citation,raw,outputs\official_pyterrier_temporal_citation\snapshot-1-train\run.txt,0.00561341018245613,0.19494683738431118,0.009027409723246173,0.030374051742713005,0.856086684751824
official_pyterrier_temporal,temporal,raw,outputs\official_pyterrier_temporal\snapshot-1-train\run.txt,0.005534833617349991,0.1947929079705516,0.008898708635034683,0.030374051742713005,0.856086684751824
